stimType,imagePath,imageType,corrAns
seen,github_images/AI_bedroom_1.jpg,studied_AI,seen
seen,github_images/AI_bedroom_3_chat.jpg,studied_AI,seen
seen,github_images/AI_bedroom_4.jpg,studied_AI,seen
seen,github_images/AI_highway_1.jpg,studied_AI,seen
seen,github_images/AI_highway_2.jpg,studied_AI,seen
seen,github_images/AI_highway_4.jpg,studied_AI,seen
seen,github_images/AI_highway_5.jpg,studied_AI,seen
seen,github_images/AI_mountain_1.jpg,studied_AI,seen
seen,github_images/AI_mountain_2.jpg,studied_AI,seen
seen,github_images/AI_mountain_3.jpg,studied_AI,seen
seen,github_images/AI_mountain_5.jpg,studied_AI,seen
seen,github_images/AI_pasture_1.jpg,studied_AI,seen
seen,github_images/AI_pasture_2.jpg,studied_AI,seen
seen,github_images/AI_pasture_3.jpg,studied_AI,seen
seen,github_images/AI_pasture_4.jpg,studied_AI,seen
seen,github_images/bedroom_1.jpg,studied_real,seen
seen,github_images/bedroom_3.jpg,studied_real,seen
seen,github_images/bedroom_4.jpg,studied_real,seen
seen,github_images/mountain_5.jpg,studied_real,seen
seen,github_images/highway_1.jpg,studied_real,seen
seen,github_images/highway_2.jpg,studied_real,seen
seen,github_images/highway_4.jpg,studied_real,seen
seen,github_images/highway_5.jpg,studied_real,seen
seen,github_images/mountain_1.jpg,studied_real,seen
seen,github_images/mountain_2.jpg,studied_real,seen
seen,github_images/mountain_3.jpg,studied_real,seen
seen,github_images/pasture_1.jpg,studied_real,seen
seen,github_images/pasture_2.jpg,studied_real,seen
seen,github_images/pasture_3.jpg,studied_real,seen
seen,github_images/pasture_4.jpg,studied_real,seen
not_seen,github_images/CL_bedroom_1.jpg,notStudied_real,notSeen
not_seen,github_images/CL_bedroom_3.jpg,notStudied_real,notSeen
not_seen,github_images/CL_bedroom_7.jpg,notStudied_real,notSeen
not_seen,github_images/CL_bedroom_9.jpg,notStudied_real,notSeen
not_seen,github_images/CL_highway_2.jpg,notStudied_real,notSeen
not_seen,github_images/CL_highway_5.jpg,notStudied_real,notSeen
not_seen,github_images/CL_highway_6.jpg,notStudied_real,notSeen
not_seen,github_images/CL_highway_8.jpg,notStudied_real,notSeen
not_seen,github_images/CL_mountain_2.jpg,notStudied_real,notSeen
not_seen,github_images/CL_mountain_4.jpg,notStudied_real,notSeen
not_seen,github_images/CL_mountain_6.jpg,notStudied_real,notSeen
not_seen,github_images/CL_pastures_1.jpg,notStudied_real,notSeen
not_seen,github_images/CL_pastures_3.jpg,notStudied_real,notSeen
not_seen,github_images/CL_pastures_5.jpg,notStudied_real,notSeen
not_seen,github_images/CL_pastures_7.jpg,notStudied_real,notSeen
not_seen,github_images/CL_AI_bedroom_4.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_bedroom_6.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_bedroom_8.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_highway_1.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_highway_3.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_highway_4.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_highway_7.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_mountain_1.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_mountain_3.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_mountain_5.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_mountain_8.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_pastures_2.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_pastures_4.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_pastures_6.jpg,notStudied_AI,notSeen
not_seen,github_images/CL_AI_pastures_8.jpg,notStudied_AI,notSeen
not_seen,github_images/NS_AI_airport_1.jpg,unrelated_AI,notSeen
not_seen,github_images/NS_AI_airport_3.jpg,unrelated_AI,notSeen
not_seen,github_images/NS_AI_airport_5.jpg,unrelated_AI,notSeen
not_seen,github_images/NS_AI_amusement_2.jpg,unrelated_AI,notSeen
not_seen,github_images/NS_AI_amusement_4.jpg,unrelated_AI,notSeen
not_seen,github_images/NS_AI_bridge_1.jpg,unrelated_AI,notSeen
not_seen,github_images/NS_AI_bridge_3.jpg,unrelated_AI,notSeen
not_seen,github_images/NS_AI_bridge_5.jpg,unrelated_AI,notSeen
not_seen,github_images/NS_AI_lighthouse_2.jpg,unrelated_AI,notSeen
not_seen,github_images/NS_AI_lighthouse_4.jpg,unrelated_AI,notSeen
not_seen,github_images/NS_airport_2.jpg,unrelated_real,notSeen
not_seen,github_images/NS_airport_4.jpg,unrelated_real,notSeen
not_seen,github_images/NS_amusement park_1.jpg,unrelated_real,notSeen
not_seen,github_images/NS_amusement park_3.jpg,unrelated_real,notSeen
not_seen,github_images/NS_amusement park_5.jpg,unrelated_real,notSeen
not_seen,github_images/NS_bridge_2.jpg,unrelated_real,notSeen
not_seen,github_images/NS_bridge_4.jpg,unrelated_real,notSeen
not_seen,github_images/NS_lighthouse_1.jpg,unrelated_real,notSeen
not_seen,github_images/NS_lighthouse_3.jpg,unrelated_real,notSeen
not_seen,github_images/NS_lighthouse_5.jpg,unrelated_real,notSeen
